100 2
5065 24 66
9125 84 13
8874 2 55
4141 34 50
5943 8 79
3213 43 31
3586 88 0
4107 61 0
9498 23 70
7363 49 7
4976 79 19
3060 31 28
8927 66 9
2965 54 43
4540 24 59
8020 65 8
63 72
6194 12 34
6487 87 11
6155 23 34
5005 21 53
7841 43 37
1956 22 73
4945 3 39
2073 70 15
6222 55 40
4661 83 1
7765 72 7
6052 31 31
2757 28 15
7904 73 25
9103 70 22
2282 9 73
5466 28 45
2692 49 31
3378 56 8
3161 38 31
1485 62 15
780 19 74
6049 12 61
1351 42 56
286 36 11
3649 8 8
1243 23 16
6493 9 4
9089 2 73
9597 73 15
7710 54 13
698 51 44
6129 58 29
154 8 4
8859 26 66
79 67 16
6852 23 23
5198 79 7
5032 85 6
6890 46 41
4352 6 22
6262 37 47
8670 6 76
6490 67 9
6545 77 22
9016 16 17
7262 35 11
6748 72 26
164 86 1
3046 19 59
8553 76 11
8168 10 11
4829 22 11
4584 47 39
9862 24 66
2026 55 5
3646 6 58
9202 42 46
3026 44 47
6366 14 52
7736 25 47
4846 56 29
550 70 19
9899 71 8
4122 45 50
3158 55 25
9243 40 23
8146 1 60
6143 1 21
423 51 39
5718 17 47
8534 46 4
93 59
6458 20 17
9694 18 40
3868 78 8
1146 65 13
990 58 38
1114 17 51
5343 20 62
4856 37 6
3183 3 46
7434 26 48
2233 28 62
8009 64 27
7906 55 22
3117 11 79
6491 60 13
9088 19 63
9984 70 3
223 45 41
7259 88 0
3906 88 2
5685 7 38
567 46 39
5467 37 21
3858 18 62
3712 87 0
7996 82 2
8181 65 0
1957 23 62
6569 76 12
7075 72 16
1281 18 19
6723 25 67
4170 58 30
7491 31 40
8909 9 57
9412 65 12
1193 59 3
1753 41 33
3787 34 52
3715 4 3
7891 28 1
704 45 39
162 29 33
5253 51 21
9081 31 45
9225 67 2
6924 14 50
4 31 8
9768 35 42
5629 64 16
1492 38 30
3041 56 39
3001 74 19
5758 38 30
7326 70 5
9259 26 12
629 40 10
697 10 71
1417 37 51
97 99
3520 46 2
1677 52 3
2696 14 31
3876 57 18
1383 23 40
9049 20 61
5938 84 4
828 35 21
5722 68 0
1461 9 77
3907 14 51
7844 58 30
5900 82 8
6955 38 49
4846 46 48
1140 34 8
5613 49 31
2872 28 23
9749 56 40
198 44 3
4 25 9
4635 43 26
1898 37 45
7290 13 12
4927 31 46
6118 55 33
425 13 44
5079 14 68
5085 38 36
378 3 68
2052 65 33
5782 52 35
3244 70 1
6055 55 6
1325 13 81
9359 21 34
9202 57 42
7871 66 17
6193 13 63
2045 89 4
5813 39 49
1395 27 32
8800 59 37
1763 89 6
9399 65 34
7629 85 11
7593 55 38
5981 64 12
4587 63 34
5315 18 14
9442 27 67
5891 75 12
1454 27 26
6952 62 24
1828 13 51
1010 53 46
9536 57 13
9988 42 17
7442 73 23
6984 9 21
69 33 55
8750 30 23
2041 14 67
1029 18 53
2846 7 54
9895 47 22
1531 69 2
6957 39 23
4042 37 28
1135 71 12
9202 48 11
4051 61 37
314 7 27
4633 75 14
926 6 23
8591 85 6
7411 49 33
4979 7 88
6196 9 38
8884 41 54
6198 84 6
815 23 54
6468 75 9
5688 51 47
6504 64 18
742 0 33
492 40 34
7446 77 17
509 23 13
8204 43 1
7510 16 28
8498 67 0
994 6 90
7041 43 6
8743 54 27
8947 61 32
7546 58 22
7150 26 15
4714 16 18
95 71
5225 28 52
5127 8 52
6922 11 66
5183 51 17
9132 53 43
660 28 51
2931 56 39
6773 34 58
9138 89 6
2010 39 27
4165 33 13
3828 5 75
3066 6 70
3298 13 74
1648 26 55
8741 4 9
4778 4 65
9439 63 30
2327 58 12
9928 31 6
5044 21 7
1455 80 4
7438 59 27
885 89 7
7474 61 37
8523 51 23
7609 79 12
4546 73 11
1722 45 46
5833 54 4
9478 1 20
8959 56 41
480 8 29
9885 86 10
4511 87 6
3489 10 82
8558 27 36
3725 63 23
4685 71 13
2731 76 18
953 47 23
1350 58 7
992 86 1
1864 71 13
8342 4 91
993 77 18
1794 0 81
3363 86 9
7297 89 7
5919 69 23
9158 58 14
3134 38 35
8223 51 36
4019 16 34
1406 31 61
6779 79 15
815 26 31
1124 45 54
2250 42 12
6993 10 60
1184 57 37
6458 55 35
1772 22 17
7607 57 39
4924 66 0
8233 8 21
1020 22 28
5083 58 17
1980 56 13
8561 70 9
8630 12 28
60 95
364 39 16
1534 80 13
8879 48 46
6550 12 2
3155 55 24
9497 87 4
8041 74 24
9913 13 76
7697 53 15
8823 21 71
6405 45 10
6837 53 43
5954 28 59
9994 32 35
2264 45 47
6634 41 51
6083 6 68
8590 79 19
735 5 66
1508 33 45
5418 44 1
3836 29 24
3838 2 29
4376 10 43
1383 21 39
3092 18 66
8568 19 35
4329 56 12
7320 39 55
7298 27 57
3837 54 24
6221 45 37
7063 68 21
6318 55 22
534 6 11
2868 41 37
3892 16 4
2724 5 5
9277 23 55
1244 83 10
8528 28 33
8609 31 18
7245 68 18
2545 78 16
3425 41 18
3226 17 23
8581 33 42
5570 72 26
3862 70 3
3111 48 19
6983 37 6
9815 83 15
6520 48 30
3095 24 54
1756 23 2
7125 64 11
1212 53 18
3664 45 39
9887 60 11
7200 47 19
3978 33 14
4057 34 24
4737 58 24
4156 44 30
9712 34 63
856 62 4
1536 65 13
7801 73 24
1293 39 34
1290 53 46
1191 18 50
9525 1 50
7055 8 70
8868 17 80
1823 17 18
7187 11 60
342 69 26
948 43 55
5653 21 56
9395 58 29
4204 88 6
9222 46 5
4260 79 8
6916 57 20
284 55 37
7198 82 1
4781 0 66
4243 40 2
327 31 41
2918 33 63
2450 4 11
1822 80 9
6169 27 37
225 45 13
305 87 1
64 66
8411 76 4
8293 73 26
1280 75 9
9919 60 25
7951 13 71
1264 54 14
4877 14 63
3828 15 11
772 73 20
8000 58 26
3502 87 7
3785 27 5
7231 7 42
2081 18 16
927 25 32
3301 36 2
7497 52 14
7861 5 51
8449 55 1
419 12 42
6349 80 3
9716 69 20
7808 1 95
7070 67 19
5481 88 5
5205 9 30
4577 39 24
4385 7 25
2768 81 16
7320 58 18
145 11 23
8577 17 42
1982 20 33
2722 57 8
9634 9 58
1744 31 66
1397 72 6
3468 34 57
2862 6 61
9272 25 51
694 33 52
2791 17 79
8263 12 34
5420 68 13
8501 74 3
7352 55 1
6351 63 27
4074 44 8
9460 19 67
953 3 85
8974 48 33
3105 53 21
904 12 19
1256 54 7
1230 68 31
8463 13 85
6000 40 37
1654 10 14
7654 19 49
7843 73 7
1698 36 16
7207 39 32
6181 83 12
9523 24 56
1031 60 0
9261 21 73
55 97
8330 42 11
4776 18 81
1759 13 70
9695 12 41
7682 20 36
8773 82 1
766 27 9
5095 79 4
1731 71 3
6829 38 9
7923 46 11
2832 63 17
4312 24 45
5792 5 47
8968 75 23
9350 4 22
6991 69 8
5232 29 34
3424 50 4
1955 53 26
7518 9 26
9902 56 6
3301 53 43
258 7 32
2012 64 35
8109 48 22
2431 88 3
380 44 28
5374 42 4
580 83 13
3033 18 39
9983 74 15
7282 50 9
6691 11 68
7902 8 23
9674 77 7
778 24 66
1981 63 24
534 14 60
6009 40 54
7392 89 10
3685 79 20
5562 36 8
9492 73 16
2342 16 80
3081 44 19
1056 21 9
5416 66 3
311 44 49
1322 81 9
1483 11 33
7232 25 53
625 87 9
4964 31 32
9427 44 4
9260 10 18
1491 82 3
710 27 68
6217 79 19
5542 16 71
9264 6 81
1492 69 24
1131 21 49
5461 42 3
2249 14 43
9397 36 10
7655 17 35
5642 21 34
8577 33 37
5913 17 4
4736 27 39
3517 11 27
7019 9 38
8645 21 48
2199 28 8
7866 10 80
882 10 59
3383 11 47
9705 81 10
2313 7 9
2531 36 59
2919 15 59
9631 5 25
4367 57 24
3171 22 11
6547 87 8
1594 29 67
3040 88 10
1595 56 31
3474 13 51
4217 79 2
5245 28 6
8049 34 53
3759 66 23
7835 76 17
4683 54 40
3699 60 2
0 0
